Country,State,Date,ConfirmedCases,ConfirmedDeaths,
Belgium,All,3/14/20,559,3,
Belgium,All,3/15/20,689,4,
Belgium,All,3/16/20,886,4,
Belgium,All,3/17/20,1085,5,
Belgium,All,3/18/20,1243,5,
Benin,All,3/17/20,1,0,
Benin,All,3/18/20,1,0,
Bhutan,All,3/6/20,1,0,
Bhutan,All,3/13/20,1,0,
Bhutan,All,3/15/20,1,0,
Bhutan,All,3/17/20,1,0,
Bhutan,All,3/18/20,1,0,
Bolivia,All,3/12/20,2,0,
Bolivia,All,3/13/20,3,0,
Bolivia,All,3/14/20,10,0,
Bolivia,All,3/15/20,10,0,
Bolivia,All,3/17/20,11,0,
Bolivia,All,3/18/20,12,0,
Bosnia and Herzegovina,All,3/6/20,2,0,
Bosnia and Herzegovina,All,3/12/20,3,0,
Bosnia and Herzegovina,All,3/13/20,3,0,
Bosnia and Herzegovina,All,3/16/20,18,0,
Bosnia and Herzegovina,All,3/17/20,21,0,
Bosnia and Herzegovina,All,3/18/20,21,0,
Brazil,All,12/31/19,0,0,
Brazil,All,1/1/20,0,0,
Brazil,All,1/2/20,0,0,
Brazil,All,1/3/20,0,0,
Brazil,All,1/4/20,0,0,
Brazil,All,1/5/20,0,0,
Brazil,All,1/6/20,0,0,
Brazil,All,1/7/20,0,0,
Brazil,All,1/8/20,0,0,
Brazil,All,1/9/20,0,0,
Brazil,All,1/10/20,0,0,
Brazil,All,1/11/20,0,0,
Brazil,All,1/12/20,0,0,
Brazil,All,1/13/20,0,0,
Brazil,All,1/14/20,0,0,
Brazil,All,1/15/20,0,0,
Brazil,All,1/16/20,0,0,
Brazil,All,1/17/20,0,0,
Brazil,All,1/18/20,0,0,
Brazil,All,1/19/20,0,0,
Brazil,All,1/20/20,0,0,
Brazil,All,1/21/20,0,0,
